iter	Passed	Remaining
0	193	19123
1	218	10717
2	242	7848
3	274	6592
4	305	5804
5	331	5194
6	356	4740
7	388	4469
8	415	4196
9	438	3946
10	462	3742
11	487	3571
12	511	3423
13	539	3311
14	564	3197
15	597	3138
16	622	3039
17	645	2942
18	669	2855
19	694	2779
20	720	2710
21	743	2637
22	768	2574
23	798	2527
24	822	2468
25	848	2414
26	871	2357
27	895	2302
28	922	2258
29	955	2229
30	981	2183
31	1010	2147
32	1034	2101
33	1058	2055
34	1082	2010
35	1107	1968
36	1131	1926
37	1155	1884
38	1185	1853
39	1220	1830
40	1260	1814
41	1295	1789
42	1331	1765
43	1364	1736
44	1393	1703
45	1423	1671
46	1452	1638
47	1484	1608
48	1516	1578
49	1548	1548
50	1584	1522
51	1616	1492
52	1648	1461
53	1679	1431
54	1711	1400
55	1744	1370
56	1781	1344
57	1814	1313
58	1845	1282
59	1875	1250
60	1906	1219
61	1941	1189
62	1973	1159
63	2001	1125
64	2025	1090
65	2050	1056
66	2073	1021
67	2097	987
68	2123	953
69	2147	920
70	2173	887
71	2197	854
72	2223	822
73	2247	789
74	2272	757
75	2296	725
76	2321	693
77	2346	661
78	2372	630
79	2396	599
80	2421	567
81	2445	536
82	2469	505
83	2494	475
84	2521	444
85	2553	415
86	2579	385
87	2604	355
88	2632	325
89	2661	295
90	2686	265
91	2711	235
92	2734	205
93	2762	176
94	2789	146
95	2816	117
96	2840	87
97	2865	58
98	2889	29
99	2915	0
