iter	Logloss
0	0.6506460078
1	0.6173659079
2	0.5858032923
3	0.5595378357
4	0.5363495718
5	0.5171646622
6	0.4968430585
7	0.4786414575
8	0.4616004907
9	0.4450266643
10	0.4303965586
11	0.4115336307
12	0.4009045692
13	0.3891617041
14	0.3739522796
15	0.3644926825
16	0.3531890338
17	0.3381869675
18	0.3305723962
19	0.319103756
20	0.3092943435
21	0.3010218612
22	0.2956207624
23	0.2906550674
24	0.2847361604
25	0.2800908351
26	0.2752784438
27	0.2698431013
28	0.2659664511
29	0.2596525054
30	0.2564309228
31	0.2531515736
32	0.2492295668
33	0.2456846656
34	0.2417493852
35	0.2378152748
36	0.234869402
37	0.2316061649
38	0.2306617683
39	0.2278849706
40	0.2257948739
41	0.2239579165
42	0.2224964359
43	0.2195226345
44	0.2160943419
45	0.2149220788
46	0.211820058
47	0.2085908479
48	0.2071671388
49	0.2050667537
50	0.2034862102
51	0.2001981267
52	0.1979295314
53	0.1958342191
