iter	Passed	Remaining
0	155	46565
1	284	42464
2	414	41082
3	548	40565
4	688	40611
5	821	40251
6	954	39942
7	1078	39366
8	1205	38979
9	1331	38602
10	1459	38337
11	1585	38043
12	1706	37682
13	1849	37783
14	1976	37556
15	2101	37293
16	2225	37049
17	2348	36798
18	2472	36566
19	2594	36325
20	2716	36092
21	2844	35944
22	2967	35744
23	3097	35618
24	3221	35439
25	3351	35318
26	3480	35194
27	3620	35170
28	3751	35057
29	3882	34941
30	4007	34775
31	4132	34607
32	4257	34443
33	4380	34272
34	4504	34102
35	4630	33954
36	4753	33790
37	4878	33632
38	5015	33565
39	5141	33416
40	5267	33272
41	5396	33152
42	5525	33022
43	5655	32901
44	5797	32852
45	5920	32693
46	6055	32597
47	6186	32478
48	6314	32343
49	6442	32211
50	6568	32067
51	6692	31919
52	6819	31781
53	6943	31631
