sponsor_class,nct_id,brief_title,official_title,brief_summary,detailed_description,overall_status,why_stopped,start_date,completion_date,primary_completion_date,study_type,phases,allocation,intervention_model,masking,primary_purpose,enrollment_count,enrollment_type,interventions_json,interventions_types,interventions_names,is_success
OTHER,NCT06147479,Cognitive Stimulation in Daily Activities for People Living With Early to Middle Stage Dementia,Cognitive Stimulation in Activities of Daily Living for Individuals Living With Mild-to-Moderate Dementia (CS-ADL): a Pilot Randomised Controlled Trial,"The goal of this study is to test the effect of CS-ADL is on people living with early to middle stage dementia. The study also aims to evaluate the feasibility of conducting larger-scale research of CS-ADL.

The main questions it aims to answer are:

* What is the effect of CS-ADL on the ability of people with early to middle stage dementia to carry out their everyday activities?
* What is the effect of CS-ADL on the memory, mood, communication, and quality of life of people living with early to middle stage dementia? What is the feasibility of conducting large-scale research of CS-ADL?

Participants will take part in a group program that lasts 7 weeks, with one session per week, lasting two hours. Participants will take part in rewarding and stimulating activities, for example discussion, reminiscence, music, and practical activities such as baking, cooking, gardening. Participants will be asked to complete a variety of questionnaires before and after taking part in the group.

Researchers will compare a group receiving CS-ADL to a group receiving their usual care, to explore whether CS-ADL works well in comparison to typical treatment provided by the health services.",,COMPLETED,,2023-11-03,2024-06-21,2024-06-21,INTERVENTIONAL,NA,RANDOMIZED,PARALLEL,SINGLE,SUPPORTIVE_CARE,16,ACTUAL,"[{""name"": ""CS-ADL (Cognitive stimulation in Activities of Daily Living)"", ""type"": ""BEHAVIORAL"", ""description"": ""CS-ADL sessions are delivered once weekly, for seven weeks. Sessions last approximately 2 hours. Sessions are themed around domains of everyday activities, for example 'Morning routine', ' Domestic Activities', 'Leisure'. Activities in each session follow this theme. A typical session begins with introductions, reality orientation, a group song and discussion of the news of the week. This is followed by a physical activity/game and ADL-focused cognitive stimulation activities. These activities include the identification and categorization of everyday items, discussion, reminiscence, planning and sequencing of ADLs and the completion of everyday writing/calculation tasks. This is followed by practice of an ADL. Examples of activities include making a breakfast, a simple gardening activity or sorting laundry. The session then ends with a summary and repeat of the group song, and a plan for the next session."", ""mesh_terms"": [], ""other_ids"": []}]",BEHAVIORAL,cs-adl (cognitive stimulation in activities of daily living),1
OTHER,NCT05844579,The ICU LIBERATION Study,ReLatIonship BEtween Implementation of Evidence-based and suppoRtive ICU cAre and ouTcomes of patIents With Acute respiratOry Distress syNdrome,"Acute respiratory distress syndrome (ARDS) is a condition associated with hypoxemia due to noncardiogenic causes and results in high mortality. However, the epidemiology and treatment strategy for ARDS may have changed significantly due to the accumulation of a large body of knowledge, following the two-year pandemic of the novel coronavirus (SARS-CoV-2) of which the primary manifestation is ARDS. To improve the quality of ICU care that patients receive after admission to the ICU, a variety of academic societies, including the Japanese Society of Intensive Care Medicine and the Society of Critical Care Medicine, are currently developing evidence-based guidelines and consensus guidelines and statements regarding ABCDEF bundles, nutritional therapy, ICU diary. The ABCDEF bundle, nutritional therapy, and ICU diary have been developed and are being promoted for implementation in hospitals around the world. The implementation of evidence-based ICU care is strongly recommended, especially for patients with acute respiratory distress syndrome who frequently require ventilators to maintain their lives, because their patient outcomes are worse than those who were admitted to ICU with other causes.

However, there is still little evidence on how the quality of ICU care (compliance rate) correlates with patient prognosis and outcomes, and there are currently no clear goals or indicators for the ICU care we should develop.

This study aims to investigate the epidemiology and treatments given to the patients and evaluate the implementation of evidence-based ICU care and its association with the outcomes of patients with acute respiratory distress syndrome admitted to the ICU. The contents of mechanical ventilation settings, respiratory conditions, and the evidence-based ICU care, such as analgesia, sedation, rehabilitation, and nutrition, given to the patients will be collected in a daily basis.

Aim 1: Epidemiology Aim 2: Treatments Aim 3: Evidence-based ICU care Aim 4: ARDS related Post Intensive Care Syndrome","Background:

Acute respiratory distress syndrome (ARDS) is a condition associated with hypoxemia due to noncardiogenic causes with bilateral lung infiltrates on chest X-ray or CT imaging. 10% of all ICU admissions are ARDS patients, and the recent pandemic of the novel coronavirus has dramatically increased the number of ARDS patients in ICUs across the world. The international epidemiological study (2016) reported a mortality rate of 35-46% for ARDS, and this is very high mortality compared to other ICU diseases. Furthermore, ARDS survivors present with many functional impairments, including physical, cognitive, and psychiatric dysfunction (Post Intensive Care Syndrome, PICS), and their Activities of Daily Living (ADL) and Quality of Life (QOL) are impaired and many other functional impairments have been pointed out. Their inability to get their original life has attracted significant research attention and become a significantly important research topic. Many patients who are unable to return to work due to functional disability require nursing care, and there is concern about the increased burden on the patient, the family supporting the patient, and the social economy. Therefore, the development of effective strategies for patients with ARDS that take into account not only mortality but also functional prognosis is strongly needed.

Recent studies have shown that lung-protective ventilation (low tidal volume and airway pressure control), neuromuscular blocking agents, prone position, noninvasive mechanical ventilators, and extracorporeal membrane oxygenation (ECMO) have improved outcomes, including mortality, in patients with ARDS. However, the mortality of patients with ARDS is still as high as 40%. In addition, the complete reintegration ratio of patients with ARDS after 1 year of hospital discharge reported in 2003 was only 50%, and recent reports have shown little progress in this aspect. Strategies to improve outcomes (mortality and functional prognosis) of ARDS patients by improving not only treatment but also the quality of ICU care have become a hot topic in recent years. The previous paper showed that excessive sedation and absolute bed rest for the purpose of ventilation control and rest during intubation in ARDS patients correlated with delirium, prolonged duration of ventilation, and even increased mortality. Therefore, attempts have been explored to improve outcomes for ARDS patients by systematically providing sedation, analgesia, rehabilitation, spontaneous breathing and awaking tests, and delirium management during ICU admission. These attempts, known as the ABCDEF bundle, have been actively recommended by a number of academic societies to be introduced in ICUs as an attempt to improve outcomes of patients with ARDS and promote their reintegration into society. (ABCDEF bundle: A (Assess, prevent, and manage pain), B (Both spontaneous awakening trials (SAT) and spontaneous breathing trials (SBT)), C (Choice of analgesia and sedation), D (Delirium: assess, prevent, and manage), E (Early mobility and exercise), F (Family engagement and empowerment)), and even ICU care such as nutritional therapy and ICU diaries have been shown to improve outcomes for ICU patients, including ARDS, and are strongly recommended. (In this study, this ICU care is referred to as evidence-based ICU care.) On the other hand, our research team has reported that the overall implementation rate of these evidence-based ICU care, ABCDEF bundles, nutritional therapy, and ICU diaries in ICU patients is quite low, and the rate is significantly lower in mechanically ventilated patients. The reason for the low implementation rates is thought to be that the ventilator is a major barrier. Although many articles have proposed evidence-based ICU care, there is little evidence as to which of these should be prioritized and which should be combined to maximize patient outcomes. The reason for this may be that there is a lack of evidence on which of these should be prioritized and which should be combined to maximize patient outcomes. Implementation of evidence-based ICU care requires many resources and effort, and it is difficult to implement all of them simultaneously. Therefore, the purpose of this international multicenter study is to investigate the current epidemiology and treatment strategy given to the patients with ARDS after the two-year pandemic of the novel coronavirus, clarify the actual implementation of ICU care for ARDS patients who require ventilators at high frequency, and evaluate how the implementation of evidence-based ICU care is associated with patient outcomes.

Significance of the study This study has the potential to increase the generalizability of the results which will be obtained from all regions of the world, including Asia, Europe, North and South America, Oceania, and Africa. Therefore, the results will potentially contribute to improving patient treatment and outcomes in all regions of the world. Furthermore, the results obtained will provide a detailed picture of the current ICU care given to patients with ARDS in the ICU. The association/correlation analysis between its implementation and patient outcomes will identify the content of ICU care which can maximize improvement in outcomes for ARDS patients. As a result, this study will contribute to the development of ICU care guidelines and thereby improve the outcomes of patients with ARDS. The study will play a significant role in improving outcomes for patients with ARDS worldwide. In addition, the results of this study will serve as basement data for future interventional research.",RECRUITING,,2023-06-01,2031-12-31,2026-12-31,OBSERVATIONAL,unknown,,,,,1000,ESTIMATED,[],,,0
OTHER,NCT04461379,"Prevention, Efficacy and Safety of BCG Vaccine in COVID-19 Among Healthcare Workers","Prevention, Efficacy and Safety of BCG Vaccine in COVID-19- Randomized Clinical Trial","In Mexico the total number of confirmed cases of COVID-19 is 232, 000 and 28,510 deaths. Health workers are at high risk of COVID-19 infection. Their absence from work dramatically limits the ability to contain the disease. There is currently no vaccine to prevent the disease. Since the introduction to the vaccination schedule of the Bacillus Calmette-Guerin (BCG) live attenuated vaccine directed towards tuberculosis prevention, a decrease in infant mortality has been reported, not related only to tuberculosis. BCG vaccine has been hypothesized to have a non-specific role towards other unrelated pathogens such as viruses that cause airway disease, with reduced morbidity and mortality. In murine as well as in human models it has been shown to decrease the incidence of acute respiratory influenza infections. Likewise, in countries with a high endemicity for tuberculosis, the BCG vaccine reduces the incidence of respiratory infections by up to 80% . In healthy subjects, the BCG vaccine increases the production of proinflammatory cytokines in monocytes. Likewise, it increases the epigenetic response, causing an increase in the transcription of genes important in the antimicrobial response, as well as an improvement in cellular function. This is the first national clinical trial to evaluate prospectively the effect that the BCG vaccine offers towards the prevention and reduction of severity in cases of COVID-19.","The study design is a randomized, double-blinded, placebo-controlled clinical trial.

Age stratified randomization (\<45 years and\> 45 years) was performed using permuted blocks with allocation concealment.

The sample size is 908 patients. 454 patients in each stratum (227 with placebo and 227 with BCG vaccine).

Eligible participants will be healthcare professionals over 18 years of age who are in contact with patients with COVID-19, with negative IgG and IgM antibodies results for SARS-CoV-2 prior to their inclusion and sign the informed consent. After signing the informed consent, the participants will be randomized 1:1 to the intervention group (BCG vaccine) or control (placebo), a medical history will be performed, and a blood plasma sample will be obtained to determine specific antibodies against SARS-CoV-2.

The patients will be followed up for 6 months after the application of the vaccine, they will be contacted by phone every two weeks in order to identify the adverse effects of the vaccine (30 days after the application) as well as to identify symptoms of COVID-19, in addition, follow-up visits will be carried out at the third and sixth months, in each of these visits a blood plasma sample will be obtained and IgG and IgM antibodies will be measured.

Statistical Analysis Type: By intention to treatment",UNKNOWN,,2020-07-21,2021-01-01,2021-01-01,INTERVENTIONAL,PHASE3,RANDOMIZED,PARALLEL,TRIPLE,PREVENTION,908,ESTIMATED,"[{""name"": ""BCG vaccine"", ""type"": ""BIOLOGICAL"", ""description"": ""A single dose BCG vaccine intradermally (deltoid region of the right arm) 0.1 ml, equivalent to 0.075 mg of attenuated Mycobacterium bovis . (Tokio 172 strain)"", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Placebo"", ""type"": ""OTHER"", ""description"": ""A single dose intradermally ((deltoid region of the right arm) 0.1 ml of NaCl 0.9% solution"", ""mesh_terms"": [], ""other_ids"": []}]",BIOLOGICAL;OTHER,bcg vaccine;placebo,0
INDUSTRY,NCT00671879,Study to Evaluate Two Formulations of Carisoprodol in Subjects With Musculoskeletal Spasm of the Lower Back,"Randomized, Double-Blind, Double-Dummy Trial of Two Sustained Release Formulations of Carisoprodol Compared to Placebo in Subjects With Acute, Painful, Musculoskeletal Spasm of the Lower Back",The purpose of this study is to determine if two sustained released formulations of carisoprodol are more effective than placebo.,"Methodology:

This will be a randomized, double-blind, double-dummy, placebo-controlled, parallel-group study in subjects 18-70 years of age with acute, painful, muscle spasm of the lower back. The study consists of a baseline screening (Study Day 1), during which subjects will be evaluated for inclusion/exclusion criteria, and a 7-day double-blind treatment period (Study Day 1 through Study Day 7). Subjects will be randomly assigned to be dosed twice daily with one of the following double-blind treatments: SR carisoprodol 500-mg tablets, SR carisoprodol 700-mg tablets, or placebo.

Subjects will be evaluated in the clinic on Study Days 1, 3 and 7. Subjects who remain symptomatic on Study Day 7 will be allowed to continue in the study for a 7-day, double-blind extension period at the discretion of the Investigator. Subjects will be contacted by telephone for a safety follow-up 7 days after the last dose of study medication.

A pharmacokinetic (PK) substudy will be conducted at selected sites. These sites will obtain blood samples for PK analysis at the end of the 7-day treatment period and the 14-day treatment period, if applicable.",COMPLETED,,2008-04,2009-03,2009-03,INTERVENTIONAL,PHASE3,RANDOMIZED,PARALLEL,QUADRUPLE,TREATMENT,830,ACTUAL,"[{""name"": ""Carisoprodol SR 700 mg"", ""type"": ""DRUG"", ""description"": ""700 mg twice daily tablet"", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Carisoprodol SR 500 mg"", ""type"": ""DRUG"", ""description"": ""carisoprodol SR 500 mg tablet"", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Placebo"", ""type"": ""DRUG"", ""description"": ""placebo tablet"", ""mesh_terms"": [], ""other_ids"": []}]",DRUG;DRUG;DRUG,carisoprodol sr 700 mg;carisoprodol sr 500 mg;placebo,1
OTHER,NCT03319979,DHFR 19 bp Deletion Polymorphism and Folic Acid Utilization,DHFR 19 bp Deletion Polymorphism and Folic Acid Utilization,"A genetic variation in the gene for the protein dihydrofolate reductase (DHFR) that is necessary to utilize folic acid (a synthetic form of the B vitamin folate found in supplements and fortified food), increases the risk for breast cancer in multivitamin users and, when present in mothers who used folic acid supplements during pregnancy, increases the risk for cancer of the eye of their children. The aim of the proposed research is to understand how a common genetic variation in the gene for DHFR affects the function of this protein and the ability of the body to use folic acid.","A 19bp deletion polymorphism of intron 1 of dihydrofolate reductase (DHFR 19bpdel) increases the risk for breast cancer, and retinoblastoma of the offspring, in folic acid supplement users. Folic acid is a synthetic form of folate present in fortified foods and supplements that must be converted to tetrahydrofolate by DHFR to enter the metabolism. Individuals homozygous for DHFR 19bpdel have higher prevalence of unmetabolized folic acid in plasma and lower incorporation of folic acid into tissues. How the DHFR19bpdel (17% homozygosity in US) affects DHFR activity and folate metabolism to increase cancer risk is not understood. Studies on this topic are urgent in the light of mandatory folic acid fortification in the US and other countries. The objective of this project is to characterize the effect of DHFR 19bpdel on DHFR activity and folate pathway reactions and to determine if the effect of DHFR 19bpdel can be alleviated with folinic acid, which is a folate source that need not be converted by DHFR. The specific aims of this project are to 1\] Determine expression of DHFR mRNA and protein, splicing of intron 1 and enzyme activity in white blood cells from 3 DHFR genotypes. 2\] Determine the effect of DHFR 19bpdel and folic acid or folinic acid concentration on cell growth, and folate pathway reactions in white blood cells in homozygotes for DHFR 19bpdel and those who lack the polymorphism. Results of this study will guide measures to reduce this modifiable cancer risk associated with DHFR 19bpdel.",COMPLETED,,2013-02,2015-03,2015-03,OBSERVATIONAL,unknown,,,,,117,ACTUAL,[],,,1
OTHER,NCT07032779,Effect of Simulation Application in Septic Shock Management,"Effect of Simulation Application on Knowledge Level, Patient Safety Attitude and Self-Confidence Levels in Septic Shock Management","This research will be conducted to determine the effect of the Tag Team Patient Safety Simulation application applied to second-year students of a university's Nursing Department on their knowledge level, patient safety attitudes and self-confidence levels.","Introduction and Aim: Simulation education is a method that aims to provide students with artificial or virtual experience by providing them with a safe environment where real-life conditions are created. This research will be conducted to determine the effect of the Tag Team Patient Safety Simulation application applied to second-year students of a university's Nursing Department on their knowledge level, patient safety attitudes and self-confidence levels.

Methods: The research will be conducted in a quasi-experimental research design with a control group in a pre-test post-test design. The sample of the research will consist of students studying in the nursing department of a university and taking the Internal Medicine Nursing Course. Data will be collected in 2 time periods after theoretical information on the subject of septic shock is given, after the simulation application and at the end of the clinical application of the Internal Medicine Nursing course. After the septic shock scenario to be used in the research and the preliminary preparations for the simulation are completed, the students in the intervention group will be given the Tag Team Patient Safety Simulation application. No additional application will be made in the control group. Data were collected using the Personal Information Form, the Patient Safety Scale in Health Professional Education, the Student Satisfaction and Self-Confidence Scale in Learning, and the Septic Shock Knowledge Test.

Conclusions: As a result of the research, it is anticipated that the knowledge levels of students regarding patient care in shock will be increased, patient safety behaviors and self-confidence will be increased.Amasya University",COMPLETED,,2023-11-24,2024-07-15,2024-01-22,INTERVENTIONAL,NA,NON_RANDOMIZED,PARALLEL,NONE,OTHER,67,ACTUAL,"[{""name"": ""simulation"", ""type"": ""OTHER"", ""description"": ""the students in the intervention group will have the Tag Team Patient Safety Simulation application. The students in the simulation group will be divided into 2 groups and each group will have the Tag Team Patient Safety Simulation application with the same scenario. The students in the labeling group will be included in the scenario as the scenario progresses. It will start with 4 students at the beginning, but with labeling, 7-8 students in each group will take the role of the actors, and the other students will take the role of the audience."", ""mesh_terms"": [], ""other_ids"": []}]",OTHER,simulation,1
OTHER,NCT06651879,Ultrasound Airway Assessment of Critically Ill Preeclamptic; Comparison Between Two Technique,The Preoperative Use of Ultrasound in Airway Assessment in Critically Ill Obstetrics with Pre-eclampsia; Comparison Between Two Ultrasound Techniques in Relation to the Standard Clinical Assessment,"Unexpected difficult airway exposes the patient to serious morbidity and even mortality. The changes in pregnancy and preeclampsia increase the risk of difficult intubation. Proper anticipation affects the outcome and enhances safety, especially in critically ill patients. This research aims to assess the superiority of either 2 views or 5 views ultrasound assessment in predictivity of difficult airway (difficult ventilation, laryngoscopy, and intubation) and their comparison to traditional clinical examination by El-Ganzouri Risk Index (EGRI) in critically ill obstetric patients with pre-eclampsia.","Unexpected difficult airway exposes the patient to serious morbidity and even mortality. Obstetrics airway carries the risk of complications due to physiological changes. The airway shows more restriction and changes in preeclamptic patients and peripartum periods. A study reported one incidence of difficult intubation in obstetrics in 20 cases. Inadequate airway management leads to failure in ventilation and oxygenation of the critically ill mother and her fetus.

the Practice Guidelines for Management of the Difficult Airway by the American Society of Anesthesiologists (ASA) define the difficult airway as difficult facemask ventilation of the upper airway, difficult tracheal intubation, or both. preoperative assessment of the airway avoids that risk; however, current clinical screening tests have low sensitivity and specificity with limited predictivity.

Ultrasound (US) provides a more precise assessment for tissues like epiglottis, vocal cords, and ring-shaped membranes; thus, it facilitates a bedside, non-invasive objective airway assessment. Moreover, ultrasound assessment can plan and guide airway interventions if needed. The airway in pregnancy goes through changes. a study concluded that The US airway assessment parameters differ significantly between pregnant and non-pregnant patients. Previous studies reported that the best predictors of difficult laryngoscopy and/or difficult intubation were the epiglottis midline-skin distance, hyoid bone-to-skin distance, thyroid cartilage-to-skin distance, thyrohyoid membrane-to-skin distance, and vocal cord anterior commissure-skin distance also predicted difficult airway. In Pregnancy, hyoid bone visibility, and Pre-E/E-VC ratio were independent predictors of the difficult airway.

Researchers suggested different techniques for airway ultrasound. Some suggested detailed technique that allows the determination of multiple parameters. Others suggested a more concise protocol to lessen the time of assessment and to avoid complexity.

This trial assesses the superiority of either 2 views or 5 views ultrasound assessment in predictivity of difficult airway (difficult ventilation, laryngoscopy, and intubation) and their comparison to traditional clinical examination by El-Ganzouri index (GREI) (9) in critically ill obstetric patients with pre-eclampsia.",RECRUITING,,2024-07-20,2025-12-01,2025-11-20,INTERVENTIONAL,NA,RANDOMIZED,PARALLEL,SINGLE,DIAGNOSTIC,50,ESTIMATED,"[{""name"": ""techniques of ultrasound examination of the airway"", ""type"": ""DIAGNOSTIC_TEST"", ""description"": ""two different techniques of ultrasound. The techniques are the two views and the five views"", ""mesh_terms"": [], ""other_ids"": []}]",DIAGNOSTIC_TEST,techniques of ultrasound examination of the airway,0
OTHER,NCT03145779,Evaluation of Phenotypic Variability in Fabry Disease,Evaluation of Phenotypic Variability in Fabry Disease,"Cerebrovascular events, such as stroke, are a devastating complication of Fabry disease that results in part from storage of complex lipids in both large and small vessels. Understanding how the genotype influences the phenotype or clinical presentation can help us understand which patients are at risk for the complications of Fabry disease. This study aims to follow the natural history of this disease will help us understand and predict long-term outcomes for patients.","This longitudinal study will be conducted at Boston Children's Hospital (BCH). Subjects recruited for the study will have routine clinical care assessment with a complete physical and neurological exam and biochemical monitoring with venipuncture. In addition as part of the study, subjects will be given questionnaires to assess details of medical and psychosocial history, will complete self-reported measures of neuropsychological evaluation, pain scores, quality of life, executive functioning and cognitive functioning. All patients assessments will be repeated every 2 years.",WITHDRAWN,Funding,2020-07,2030-07,2030-07,OBSERVATIONAL,unknown,,,,,0,ACTUAL,[],,,0
OTHER,NCT01171079,"Use of an Oxidized Regenerated Cellulose After Thyroid Surgery: A Prospective, Randomized Study","Use of an Oxidized Regenerated Cellulose After Thyroid Surgery: A Prospective, Randomized Study","The purpose of this study is to evaluate the effects and safety of oxidized, regenerated cellulose as an absorbable adhesion barrier after thyroidectomy.",,COMPLETED,,,,,INTERVENTIONAL,NA,,,,,0,,"[{""name"": ""application of oxidized regenerated cellulose"", ""type"": ""DEVICE"", ""description"": """", ""mesh_terms"": [], ""other_ids"": []}]",DEVICE,application of oxidized regenerated cellulose,1
OTHER,NCT05883579,Application of Coronary Artery Chronic Total Occlusion Scoring Systems,Application of Coronary Artery Chronic Total Occlusion (CTO) Scoring Systems Detecting Their Prediction Ability on CTO Percutaneous Coronary Intervention (PCI) Procedures,Studying the prediction ability of different CTO scoring systems on Asian CTO PCI population with their relation to technical success and developing a newer stepwise approach depending on these CTO scoring systems for choosing the suggested successful approach considering collateral channel assessment.,"Study of applying the Japenese CTO, Castle and Progress CTO scores on all coronary CTO PCI cohort done at national Taiwan university hospital (NTUH)

Study tools:

1. Basal demographic data collection( age, cardiovascular risk factors, patients clinical data, lesion characteristics, periprocedural complications).
2. The Japanese Chronic Total Occlusion (J-CTO) score calculated for assessment of CTO procedures complexity and predict the likelihood of guide wire crossing within 30 min, as assembled by Morino et al.

   The J-CTO score is the sum of the following 5 binary parameters: blunt proximal cap, calcification, bending \>45°, length of occluded segment \>20 mm, and previously failed PCI attempt. Each of these independent variables was assigned a value of 1 when present. With increasing probability of difficulty of wire crossing from 0 as easy till 5 as very difficult.
3. Also, the PROGRESS-CTO score calculated (reference website: https://www.progresscto.org/cto with evaluation of 4 baseline angiographic characteristics (proximal cap ambiguity, absence of retrograde collaterals, moderate or severe tortuosity, and LCX CTO) used to determine the likelihood of technical success with CTO PCI. Each of these independent variables was assigned a value of 1 when present. With increasing probability of difficulty of success from 0 as easy till 5 as very difficult.
4. Euro CTO CASTLE scoring calculation

   The CASTLE (coronary artery bypass graft history, age, stump anatomy, tortuosity degree, length of occlusion, and extent of calcification) model applied retrospectively on the patients with every item taking 1 point if present And Technical failure rates range from 8% (CASTLE score 0 to 1) to 35% (CASTLE score ≥4).
5. Collateral assessment including type (septal, epicardial or bypass grafts), size by Werner classification \[is graded as: 0, no visible connection between the donor and the recipient coronary artery; 1, thread-like connection between the donor and the recipient coronary artery; 2, side-branch like connection between the donor and the recipient coronary artery\], tortuosity degree as by the CC scoring system of the NTUH--\> Channel tortuosity caculated as the presence of ≥2 high-frequency, successive curves (within 2 mm) in the context of epicardial collaterals and ≥1 high-frequency curve that failed to uncoil in diastole for septal channels (thus a measure of channel distensibility). A high-frequency curve is defined as a curve that is \>180° occurring within a segment length \<3× the diameter of the collateral.

And all these scores references and calculation items are mentioned in the references below....",UNKNOWN,,2023-04-01,2023-08-01,2023-07-01,OBSERVATIONAL,unknown,,,,,650,ESTIMATED,"[{""name"": ""percutaneous coronary intervention"", ""type"": ""PROCEDURE"", ""description"": ""doing percutaneous revascularization of chronic coronary total occlusion."", ""mesh_terms"": [], ""other_ids"": []}]",PROCEDURE,percutaneous coronary intervention,0
