nct_id,overall_status,phase,intervention_names,condition_mesh,study_type,sponsor,enrollment_count,start_date,completion_date,primary_completion_date,gender,min_age,max_age,allocation,masking
NCT05013879,COMPLETED,NA,,,INTERVENTIONAL,,65.0,2021-10-18,2023-11-24,2023-11-24,,50 Years,85 Years,RANDOMIZED,NONE
NCT01402479,COMPLETED,PHASE2,,,INTERVENTIONAL,,50.0,2004-10,2005-07,2005-07,,20 Years,70 Years,NON_RANDOMIZED,NONE
NCT00812279,COMPLETED,NA,,,INTERVENTIONAL,,112.0,2008-11,2009-02,2009-02,,23 Years,55 Years,RANDOMIZED,NONE
NCT03878979,COMPLETED,PHASE2,,,INTERVENTIONAL,,26.0,2019-07-08,2023-10-17,2023-10-17,,18 Years,,NON_RANDOMIZED,SINGLE
NCT03058679,COMPLETED,NA,,,INTERVENTIONAL,,197.0,2017-09-29,2020-03-01,2020-03-01,,18 Years,,RANDOMIZED,NONE
NCT03960879,UNKNOWN,,,,OBSERVATIONAL,,300.0,2019-06-01,2020-06-01,2020-06-01,,18 Years,,,
NCT02385279,COMPLETED,NA,,,INTERVENTIONAL,,1398.0,2015-03-20,2021-02-04,2017-01-31,,18 Years,,RANDOMIZED,SINGLE
NCT04128579,COMPLETED,PHASE1,,,INTERVENTIONAL,,52.0,2019-10-01,2024-01-18,2023-11-16,,18 Years,75 Years,NON_RANDOMIZED,NONE
NCT05646979,COMPLETED,NA,,,INTERVENTIONAL,,53.0,2022-12-31,2023-12-30,2023-06-30,,18 Years,49 Years,RANDOMIZED,SINGLE
NCT01216579,COMPLETED,NA,,,INTERVENTIONAL,,164.0,2004-03,,2010-02,,16 Years,65 Years,RANDOMIZED,NONE
NCT01584479,COMPLETED,,,,OBSERVATIONAL,,5117.0,2010-12,2012-03,2012-03,,34 Years,55 Years,,
NCT01602679,TERMINATED,PHASE1,,,INTERVENTIONAL,,12.0,2012-05,2015-07-31,2015-07-31,,18 Years,30 Years,RANDOMIZED,QUADRUPLE
NCT02562079,COMPLETED,NA,,,INTERVENTIONAL,,350.0,2012-03,2016-12,2016-12,,18 Years,75 Years,NON_RANDOMIZED,NONE
NCT01497379,COMPLETED,NA,,,INTERVENTIONAL,,2.0,2011-10,2015-01,2014-01,,18 Years,78 Years,RANDOMIZED,SINGLE
NCT03786679,UNKNOWN,NA,,,INTERVENTIONAL,,400.0,2019-02-25,2024-02-25,2024-02-25,,18 Years,,RANDOMIZED,SINGLE
NCT03235479,COMPLETED,PHASE3,,,INTERVENTIONAL,,1485.0,2017-07-18,2018-01-26,2018-01-21,,18 Years,,RANDOMIZED,TRIPLE
NCT02898779,COMPLETED,PHASE1,,,INTERVENTIONAL,,36.0,2017-05-01,2018-03-01,2018-03-01,,18 Years,60 Years,RANDOMIZED,SINGLE
NCT02840279,COMPLETED,PHASE1,,,INTERVENTIONAL,,77.0,2016-06,2016-12,2016-11,,25 Years,90 Years,RANDOMIZED,DOUBLE
NCT05042479,COMPLETED,NA,,,INTERVENTIONAL,,34.0,2022-06-30,2024-12-24,2024-12-12,,7 Years,18 Years,NA,NONE
NCT00332579,COMPLETED,PHASE2,,,INTERVENTIONAL,,25.0,2006-05-01,2008-09-01,2008-09-01,,21 Years,75 Years,RANDOMIZED,DOUBLE
NCT02588079,COMPLETED,NA,,,INTERVENTIONAL,,33.0,2015-10,2023-12-31,2023-12-31,,8 Years,15 Years,RANDOMIZED,NONE
NCT00717379,COMPLETED,PHASE4,,,INTERVENTIONAL,,50.0,2007-05,2008-10,2008-10,,18 Years,,RANDOMIZED,NONE
NCT01294579,COMPLETED,PHASE2,,,INTERVENTIONAL,,49.0,2011-05-17,2016-12-20,2016-12-20,,18 Years,,,NONE
NCT06970379,COMPLETED,NA,,,INTERVENTIONAL,,14.0,2024-03-30,2025-01-21,2025-01-21,,20 Years,40 Years,RANDOMIZED,NONE
NCT05193279,WITHDRAWN,PHASE2|PHASE3,,,INTERVENTIONAL,,,2022-10-05,2022-12-15,2022-12-15,,,17 Years,RANDOMIZED,QUADRUPLE
NCT00770679,TERMINATED,NA,,,INTERVENTIONAL,,16.0,2008-06,2012-07,2012-07,,40 Years,90 Years,NA,NONE
NCT01990079,COMPLETED,NA,,,INTERVENTIONAL,,15.0,2013-12,2015-08,2015-08,,18 Years,70 Years,RANDOMIZED,NONE
NCT01180179,COMPLETED,PHASE4,,,INTERVENTIONAL,,228.0,2010-06,2019-05,2019-05,,18 Years,,RANDOMIZED,QUADRUPLE
NCT06480279,RECRUITING,,,,OBSERVATIONAL,,150.0,2024-05-16,2025-05-16,2025-05-16,,65 Years,80 Years,,
NCT06577779,RECRUITING,PHASE4,,,INTERVENTIONAL,,30.0,2025-01-29,2026-01,2025-12-30,,18 Years,60 Years,RANDOMIZED,NONE
NCT01355679,COMPLETED,NA,,,INTERVENTIONAL,,16.0,2011-05,2015-01,2013-09,,1 Year,,NA,NONE
NCT00652379,COMPLETED,NA,,,INTERVENTIONAL,,18.0,2008-06,2011-05,2009-11,,18 Years,,RANDOMIZED,NONE
NCT03743779,COMPLETED,,,,OBSERVATIONAL,,253.0,2018-09-09,2019-07-01,2018-12-01,,18 Years,,,
NCT06504979,ENROLLING_BY_INVITATION,NA,,,INTERVENTIONAL,,180.0,2024-10-02,2026-08,2025-07,,18 Years,89 Years,RANDOMIZED,NONE
NCT04137679,UNKNOWN,PHASE2,,,INTERVENTIONAL,,60.0,2019-11-01,2022-08-31,2020-01-01,,18 Years,70 Years,RANDOMIZED,DOUBLE
NCT02030379,TERMINATED,NA,,,INTERVENTIONAL,,8.0,2013-07,2014-11,2014-11,,18 Years,,RANDOMIZED,NONE
NCT03460379,RECRUITING,,,,OBSERVATIONAL,,12.0,2016-11-02,2026-10,2026-10,,18 Years,70 Years,,
NCT00372879,COMPLETED,PHASE3,,,INTERVENTIONAL,,32.0,2006-12,2010-08,2010-08,,18 Years,,RANDOMIZED,QUADRUPLE
NCT02399579,COMPLETED,NA,,,INTERVENTIONAL,,10.0,2015-03,2015-06,2015-06,,18 Years,65 Years,NA,NONE
NCT05357079,COMPLETED,EARLY_PHASE1,,,INTERVENTIONAL,,94.0,2017-08-25,2024-12-02,2024-08-30,,18 Years,,RANDOMIZED,SINGLE
NCT03923179,UNKNOWN,PHASE2,,,INTERVENTIONAL,,32.0,2019-04-19,2021-12-31,2021-04-01,,18 Years,75 Years,NA,NONE
NCT03885479,UNKNOWN,,,,OBSERVATIONAL,,150.0,2019-04-01,2020-03-31,2019-12-31,,18 Years,,,
NCT04850079,ACTIVE_NOT_RECRUITING,,,,OBSERVATIONAL,,200.0,2018-09-28,2024-12,2024-12,,24 Weeks,12 Months,,
NCT04801979,COMPLETED,,,,OBSERVATIONAL,,150.0,2021-05-30,2022-12-30,2021-07-20,,18 Years,,,
NCT01312779,COMPLETED,NA,,,INTERVENTIONAL,,39.0,2011-03,2018-11,2018-11,,13 Years,,NA,NONE
NCT03470779,COMPLETED,NA,,,INTERVENTIONAL,,30.0,2018-04-19,2019-01-01,2018-11-15,,18 Years,100 Years,RANDOMIZED,NONE
NCT06395779,COMPLETED,NA,,,INTERVENTIONAL,,52.0,2024-05-15,2024-10-30,2024-08-31,,65 Years,85 Years,RANDOMIZED,NONE
NCT06091579,COMPLETED,PHASE1,,,INTERVENTIONAL,,42.0,2020-09-17,2021-01-12,2021-01-12,,18 Years,45 Years,RANDOMIZED,QUADRUPLE
NCT00441779,TERMINATED,,,,OBSERVATIONAL,,59.0,2008-08,2011-10,2011-10,,8 Years,,,
NCT03964779,UNKNOWN,,,,OBSERVATIONAL,,120.0,2019-05,2020-01,2019-12,,20 Years,40 Years,,
NCT03550079,UNKNOWN,NA,,,INTERVENTIONAL,,150.0,2017-10-01,2018-12-30,2018-12-30,,,,RANDOMIZED,SINGLE
NCT03150979,COMPLETED,NA,,,INTERVENTIONAL,,50.0,2017-08-01,2019-12-31,2019-08-31,,20 Years,,RANDOMIZED,DOUBLE
NCT05849779,RECRUITING,PHASE3,,,INTERVENTIONAL,,80.0,2023-07-24,2026-07-31,2026-05-31,,18 Years,,RANDOMIZED,SINGLE
NCT04573179,UNKNOWN,,,,OBSERVATIONAL,,60.0,2020-07-01,2021-07-01,2021-03-01,,18 Years,,,
NCT04690179,UNKNOWN,,,,OBSERVATIONAL,,150.0,2021-01-18,2021-10-15,2021-08-15,,18 Years,,,
NCT02948179,COMPLETED,NA,,,INTERVENTIONAL,,459.0,2016-09-02,2020-12-31,2020-11-30,,20 Years,35 Years,NON_RANDOMIZED,NONE
NCT06187779,ACTIVE_NOT_RECRUITING,NA,,,INTERVENTIONAL,,500.0,2023-12-06,2026-12-06,2025-12-06,,18 Years,50 Years,RANDOMIZED,NONE
NCT05552079,COMPLETED,,,,OBSERVATIONAL,,1000.0,2020-01-21,2020-08-28,2020-08-28,,40 Years,,,
